#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     PROJECT                         Solar Orbiter
#     SOURCE_NAME                     SOLO>Solar Orbiter
#     DISCIPLINE                      Space Physics>Interplanetary Studies
#     DATA_TYPE                       L2>Level 2 Calibrated Data
#     DESCRIPTOR                      MAG>Magnetometer
#     DATA_VERSION                    01
#     SOFTWARE_VERSION                2.26.1
#     SKELETON_VERSION                11
#     PI_NAME                         T. Horbury
#     PI_AFFILIATION                  The Blackett Laboratory, Imperial College London
#     TEXT                            Dual-sensor, triaxial fluxgate magnetometer
#                                     doi:10.1051/0004-6361/201937257
#     INSTRUMENT_TYPE                 Magnetic Fields (space)
#     MISSION_GROUP                   Solar Orbiter
#     LOGICAL_SOURCE                  solo_L2_mag-rtn
#     LOGICAL_FILE_ID                 solo_L2_mag-rtn-normal-1-minute
#     LOGICAL_SOURCE_DESCRIPTION      Solar Orbiter Magnetometer L2 Data
#     RULES_OF_USE                    Publication quality. Take note of Quality Flag and refer to SOL-MAG-DPDD for                          
#                                      exceptions                                                                                            
#     GENERATED_BY                    The Blackett Laboratory, Imperial College London
#     GENERATION_DATE                 2024-08-06T14:54:01
#     MODS                            V01 2019/12/11 I. Carrasco: Initial release
#                                     V02 2019/12/18 I. Carrasco: Second release
#                                     V03 2020/03/17 H. O'Brien: Third release
#                                     V04 2020/03/27 V. Evans: Fourth release
#                                     V05 2020/03/30 V. Evans: Fifth release
#                                     V06 2020/03/31 V. Evans: Sixth release
#                                     V07 2020/05/01 V. Angelini: Seventh release
#                                     V08 2020/06/18 V. Angelini: Eighth release
#                                     V07 2020/07/27 V. Angelini: Ninth release
#                                     V10 2020/08/18 V. Angelini: Tenth release
#                                     V11 2020/09/11 V. Angelini: Eleventh release
#     LEVEL                           L2>Level 2 Calibrated Data
#     PARENTS                         Time-conversion (OBT to UTC): solo_ANC_soc-flown-mk_V111_20240505_001.tm
#                                     solo_CAL_mag-obs-burst-bitshift_V01.csv, solo_CAL_mag-ibs-burst-bitshift_V01.csv
#                                     solo_L0_mag-obs-burst-puc_20240416_V01.csv, solo_L0_mag-ibs-burst-puc_20240416_V01.csv
#                                     L1 filename: solo_L1_mag-obs-burst_20240416_V01.cdf, MAG Heater Cleaning: HeaterProfile_2024-03-31_V998.mat
#                                     Spacecraft Heater Cleaning: LCLProfile-20220117T111248.mat, L2 attitude transformation: solo_ANC_soc-flown-mk_V111_20240504_001.tm
#                                     solo_L2_mag-rtn-normal-1-minute-internal_20240416_V01.cdf
#     INSTRUMENT_NAME                 MAG
#     ACKNOWLEDGEMENT                 Solar Orbiter magnetometer data was provided by Imperial College Londonand supported                  
#                                      by the UK Space Agency                                                                                
#     LINK_TEXT                       Solar Orbiter MAG
#     LINK_TITLE                      Homepage
#                                     https://www.imperial.ac.uk/space-and-atmospheric-physics/research/missions-and-projects/space-missions
#     SOOP_TYPE                       NA
#     OBS_ID                          NA
#     DATA_PRODUCT                    RTN > Data in RTN coordinates
#     CDAWEB_PARENTS                  solo_l2_mag-rtn-normal-1-minute_00000000_v01
#                                     solo_l2_mag-rtn-normal-1-minute_20240416_v01, solo_l2_mag-rtn-normal-1-minute_20240417_v01
#                                     solo_l2_mag-rtn-normal-1-minute_20240418_v01, solo_l2_mag-rtn-normal-1-minute_20240419_v01
#                                     solo_l2_mag-rtn-normal-1-minute_20240420_v01
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Epoch encoded as Terrestrial Time on rotating Earth geoid, ns since J2000
#  2. Magnetic field vector in RTN coordinates
#
EPOCH                                                       B_R                             B_T                             B_N
dd-mm-yyyy hh:mm:ss.mil.mic.nan                              nT                              nT                              nT
16-04-2024 22:00:30.000.004.917                         20.5101                        -9.74634                         18.9878
16-04-2024 22:01:30.000.001.341                         21.1365                        -9.83479                         18.5071
16-04-2024 22:02:29.999.997.764                         21.9728                        -13.2005                         15.2450
16-04-2024 22:03:30.000.004.246                         22.2773                        -14.8750                         12.7282
16-04-2024 22:04:30.000.000.670                         20.7086                        -15.4156                         14.7215
16-04-2024 22:05:29.999.997.094                         21.7646                        -17.5211                         8.73906
16-04-2024 22:06:30.000.003.576                         20.3599                        -17.3477                         12.0573
16-04-2024 22:07:30.000.000.000                         21.1039                        -17.5179                         11.3605
16-04-2024 22:08:29.999.996.423                         15.0572                        -9.71407                         22.0288
16-04-2024 22:09:30.000.002.905                         17.9428                        -10.1717                         19.8280
16-04-2024 22:10:29.999.999.329                         13.2500                        0.443275                         25.0665
16-04-2024 22:11:29.999.995.753                         15.2527                        -1.14443                         23.3910
16-04-2024 22:12:30.000.002.235                         19.4883                        -14.2762                         15.1329
16-04-2024 22:13:29.999.998.658                         19.1135                        -11.8854                         18.7149
16-04-2024 22:14:29.999.995.082                         19.0671                        -11.6704                         18.2871
16-04-2024 22:15:30.000.001.564                         21.5208                        -12.7822                         14.6491
16-04-2024 22:16:29.999.997.988                         11.8873                        -12.4807                         22.3962
16-04-2024 22:17:30.000.004.470                         17.1587                        -11.3161                         18.8733
16-04-2024 22:18:30.000.000.894                         13.7258                        -13.2026                         20.8516
16-04-2024 22:19:29.999.997.317                         12.9874                        -17.0119                         18.9025
16-04-2024 22:20:30.000.003.799                         16.2857                        -9.57237                         21.2687
16-04-2024 22:21:30.000.000.223                         16.2417                        -14.9443                         18.0002
16-04-2024 22:22:29.999.996.647                         18.6215                        -12.5631                         18.6230
16-04-2024 22:23:30.000.003.129                         21.6684                        -10.6401                         16.5608
16-04-2024 22:24:29.999.999.552                         23.7721                        -8.19618                         14.8942
16-04-2024 22:25:29.999.995.976                         21.5002                        -5.85693                         19.2794
16-04-2024 22:26:30.000.002.458                         13.3822                        -14.4297                         20.6169
16-04-2024 22:27:29.999.998.882                         18.8837                        -11.4180                         19.3998
16-04-2024 22:28:29.999.995.306                         15.2287                        -8.18183                         23.6329
16-04-2024 22:29:30.000.001.788                         14.4832                        -7.19044                         23.8907
16-04-2024 22:30:29.999.998.211                         9.99069                        -20.9114                         17.8326
16-04-2024 22:31:30.000.004.693                         16.3542                        -10.8912                         22.0702
16-04-2024 22:32:30.000.001.117                         22.0004                         9.66573                         15.2651
16-04-2024 22:33:29.999.997.541                         20.5878                         1.21560                         20.2160
16-04-2024 22:34:30.000.004.023                         19.8229                        -2.52719                         21.2141
16-04-2024 22:35:30.000.000.447                         21.4463                        -4.37454                         17.0501
16-04-2024 22:36:29.999.996.870                         16.9599                        -20.9365                         8.88301
16-04-2024 22:37:30.000.003.352                         18.1654                        -18.8104                         11.1891
16-04-2024 22:38:29.999.999.776                         16.5409                        -20.5494                         11.3534
16-04-2024 22:39:29.999.996.200                         13.3298                        -24.9795                         5.19110
16-04-2024 22:40:30.000.002.682                         19.7708                        -16.8085                         14.2692
16-04-2024 22:41:29.999.999.105                         20.8710                        -11.9780                         18.1596
16-04-2024 22:42:29.999.995.529                         22.0875                        -11.9777                         16.8588
16-04-2024 22:43:30.000.002.011                         20.7445                        -14.5042                         16.9996
16-04-2024 22:44:29.999.998.435                         20.0022                        -11.8463                         20.5496
16-04-2024 22:45:30.000.004.917                         19.4134                        -3.63566                         23.2067
16-04-2024 22:46:30.000.001.341                         21.3752                         4.11684                         20.8596
