#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     PROJECT                         STP>Solar-Terrestrial Physics
#     SOURCE_NAME                     SOLO>Solar Orbiter
#     DISCIPLINE                      Solar Physics>Heliospheric Physics
#     DATA_TYPE                       L2>Level 2 Calibrated Data
#     DESCRIPTOR                      SWA-PAS>Solar Wind Analyser / Proton-Alpha Sensor
#     DATA_VERSION                    02
#     PI_NAME                         C.J. Owen
#     PI_AFFILIATION                  MSSL-UCL, University College London, UK
#     TEXT                            Moments computed from the Proton part of ion distribution function measured                           
#                                      by PAS                                                                                                
#     INSTRUMENT_TYPE                 Plasma and Solar Wind
#     MISSION_GROUP                   Solar Orbiter
#     LOGICAL_SOURCE                  solo_L2_swa-pas-grnd-mom
#     LOGICAL_FILE_ID                 solo_L2_swa-pas-grnd-mom_20200707_V02
#     LOGICAL_SOURCE_DESCRIPTION      Solar Orbiter Level 2 Ground Calculated Moments Data from Solar Wind Analyser                         
#                                      (SWA) Proton-Alpha Sensor (PAS)                                                                       
#     RULES_OF_USE                    Consult with MSSL-UCL before using
#     GENERATED_BY                    IRAP - Toulouse
#     GENERATION_DATE                 2024-06-03T17:35:19
#     MODS                            2020/10/26 - A. Fedorov, A. Barthe - Initial version
#     SOFTWARE_VERSION                pas_process_9_1 - 2021/12/02
#     CALIBRATION_VERSION             solo_CAL_catalog_20211108_V83.txt
#     PARENTS                         solo_L1_swa-pas-3d_20240416_V01.cdf
#                                     solo_ANC_soc-flown-mk_V111_20240531_001.tm
#     CDAWEB_PARENTS                  solo_l2_swa-pas-grnd-mom_00000000_v01
#                                     solo_l2_swa-pas-grnd-mom_20240416_v02, solo_l2_swa-pas-grnd-mom_20240417_v02
#                                     solo_l2_swa-pas-grnd-mom_20240418_v02, solo_l2_swa-pas-grnd-mom_20240419_v02
#                                     solo_l2_swa-pas-grnd-mom_20240420_v02
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Epoch encoded as Terrestrial Time on rotating Earth geoid, ns since J2000
#  2. Density
#  3. Temperature
#  4. Velocity in RTN frame
#
EPOCH                                 DENSITY   TEMPERATURE        VR_RTN        VT_RTN        VN_RTN
dd-mm-yyyy hh:mm:ss.mil.mic.nan         cm^-3            eV          km/s          km/s          km/s
16-04-2024 22:00:00.199.031.000       29.1786       12.6674       331.040       14.0878      -50.7877
16-04-2024 22:00:02.199.034.000       30.5704       12.7654       328.204       6.63147      -53.6807
16-04-2024 22:00:04.199.038.000       29.8415       13.2323       326.352      -1.18768      -52.6715
16-04-2024 22:00:06.199.042.000       28.0748       11.8600       327.972       1.51940      -55.1949
16-04-2024 22:00:08.199.046.000       28.8667       12.8890       326.660       11.9542      -49.9253
16-04-2024 22:00:10.199.049.000       30.8991       14.2754       324.605       9.51855      -50.2537
16-04-2024 22:00:12.199.053.000       31.5638       12.4890       323.618       9.41693      -48.1233
16-04-2024 22:00:14.199.057.000       30.1522       12.1954       325.476       4.20310      -50.6353
16-04-2024 22:00:16.199.060.000       29.8184       12.2118       324.925      0.288745      -54.2701
16-04-2024 22:00:18.199.064.000       30.0546       13.4490       322.430       7.82385      -47.8360
16-04-2024 22:00:20.199.068.000       29.0402       12.8047       325.196      0.961927      -51.7202
16-04-2024 22:00:22.199.071.000       31.1287       13.7893       321.573    -0.0714817      -51.9883
16-04-2024 22:00:28.199.082.000       29.4972       12.2743       328.631       4.99107      -57.9250
16-04-2024 22:00:32.199.090.000       30.9207       13.9735       325.726       6.37154      -50.9406
16-04-2024 22:00:34.199.094.000       29.2781       12.0954       327.964       10.0152      -51.9352
16-04-2024 22:00:36.199.097.000       29.9286       12.5066       330.114       7.55551      -52.8853
16-04-2024 22:00:38.199.101.000       30.2539       13.0819       330.139       18.3398      -48.0795
16-04-2024 22:00:40.199.105.000       29.2323       13.1444       331.063       14.3600      -52.1760
16-04-2024 22:00:42.199.108.000       30.9302       12.8130       327.190       12.2098      -47.8124
16-04-2024 22:00:44.199.112.000       29.3716       13.0491       325.387       11.9314      -47.9630
16-04-2024 22:00:46.199.116.000       30.7898       13.6764       324.446       14.5580      -45.2945
16-04-2024 22:00:48.199.119.000       30.6387       13.1822       325.595       15.7906      -46.2084
16-04-2024 22:00:50.199.123.000       30.2663       13.0155       318.633       12.8051      -39.6375
16-04-2024 22:00:52.199.127.000       29.6718       13.1728       326.780       20.4384      -42.0952
