#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     PROJECT                         Solar Orbiter
#     SOURCE_NAME                     SOLO>Solar Orbiter
#     DISCIPLINE                      Space Physics>Interplanetary Studies
#     DATA_TYPE                       L2>Level 2 Calibrated Data
#     DESCRIPTOR                      MAG>Magnetometer
#     DATA_VERSION                    01
#     SOFTWARE_VERSION                2.26.1
#     SKELETON_VERSION                11
#     PI_NAME                         T. Horbury
#     PI_AFFILIATION                  The Blackett Laboratory, Imperial College London
#     TEXT                            Dual-sensor, triaxial fluxgate magnetometer
#                                     doi:10.1051/0004-6361/201937257
#     INSTRUMENT_TYPE                 Magnetic Fields (space)
#     MISSION_GROUP                   Solar Orbiter
#     LOGICAL_SOURCE                  solo_L2_mag-rtn
#     LOGICAL_FILE_ID                 solo_L2_mag-rtn-normal-1-minute
#     LOGICAL_SOURCE_DESCRIPTION      Solar Orbiter Magnetometer L2 Data
#     RULES_OF_USE                    Publication quality. Take note of Quality Flag and refer to SOL-MAG-DPDD for                          
#                                      exceptions                                                                                            
#     GENERATED_BY                    The Blackett Laboratory, Imperial College London
#     GENERATION_DATE                 2024-04-23T15:38:27
#     MODS                            V01 2019/12/11 I. Carrasco: Initial release
#                                     V02 2019/12/18 I. Carrasco: Second release
#                                     V03 2020/03/17 H. O'Brien: Third release
#                                     V04 2020/03/27 V. Evans: Fourth release
#                                     V05 2020/03/30 V. Evans: Fifth release
#                                     V06 2020/03/31 V. Evans: Sixth release
#                                     V07 2020/05/01 V. Angelini: Seventh release
#                                     V08 2020/06/18 V. Angelini: Eighth release
#                                     V07 2020/07/27 V. Angelini: Ninth release
#                                     V10 2020/08/18 V. Angelini: Tenth release
#                                     V11 2020/09/11 V. Angelini: Eleventh release
#     LEVEL                           L2>Level 2 Calibrated Data
#     PARENTS                         Time-conversion (OBT to UTC): solo_ANC_soc-flown-mk_V110_20240121_001.tm
#                                     solo_CAL_mag-obs-burst-bitshift_V01.csv, solo_CAL_mag-ibs-burst-bitshift_V01.csv
#                                     solo_L0_mag-obs-burst-puc_20240119_V01.csv, solo_L0_mag-ibs-burst-puc_20240119_V01.csv
#                                     L1 filename: solo_L1_mag-obs-burst_20240119_V01.cdf, MAG Heater Cleaning: HeaterProfile_2024-01-19_V002.mat
#                                     Spacecraft Heater Cleaning: LCLProfile-20220117T111248.mat, L2 attitude transformation: solo_ANC_soc-flown-mk_V110_20240204_003.tm
#                                     solo_L2_mag-rtn-normal-1-minute-internal_20240119_V01.cdf
#     INSTRUMENT_NAME                 MAG
#     ACKNOWLEDGEMENT                 Solar Orbiter magnetometer data was provided by Imperial College Londonand supported                  
#                                      by the UK Space Agency                                                                                
#     LINK_TEXT                       Solar Orbiter MAG
#     LINK_TITLE                      Homepage
#                                     https://www.imperial.ac.uk/space-and-atmospheric-physics/research/missions-and-projects/space-missions
#     SOOP_TYPE                       NA
#     OBS_ID                          NA
#     DATA_PRODUCT                    RTN > Data in RTN coordinates
#     CDAWEB_PARENTS                  solo_l2_mag-rtn-normal-1-minute_00000000_v01
#                                     solo_l2_mag-rtn-normal-1-minute_20240119_v01, solo_l2_mag-rtn-normal-1-minute_20240120_v01
#                                     solo_l2_mag-rtn-normal-1-minute_20240121_v01, solo_l2_mag-rtn-normal-1-minute_20240122_v01
#                                     solo_l2_mag-rtn-normal-1-minute_20240123_v01
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Epoch encoded as Terrestrial Time on rotating Earth geoid, ns since J2000
#  2. Magnetic field vector in RTN coordinates
#
EPOCH                                                       B_R                             B_T                             B_N
dd-mm-yyyy hh:mm:ss.mil.mic.nan                              nT                              nT                              nT
19-01-2024 00:00:29.999.998.211                         3.72088                        -2.88552                       -0.173868
19-01-2024 00:01:30.000.004.693                         2.33585                        -3.61058                        -1.26297
19-01-2024 00:02:30.000.001.117                         3.38735                        -2.05688                        -2.23993
19-01-2024 00:03:29.999.997.541                         2.64719                        -3.18884                        -1.98051
19-01-2024 00:04:30.000.004.023                         3.10012                        -3.20155                         1.04327
19-01-2024 00:05:30.000.000.447                         2.52001                        -2.95805                        -2.77927
19-01-2024 00:06:29.999.996.870                         1.71965                        -3.44510                        -2.61075
19-01-2024 00:07:30.000.003.352                         1.63600                        -4.28614                       -0.679260
19-01-2024 00:08:29.999.999.776                         1.58490                        -4.06989                        -1.30046
19-01-2024 00:09:29.999.996.200                         1.93801                        -3.15571                        -2.93376
19-01-2024 00:10:30.000.002.682                        0.468209                        -4.68064                      -0.0353382
19-01-2024 00:11:29.999.999.105                        0.479492                        -4.39688                       -0.974499
19-01-2024 00:12:29.999.995.529                         1.43718                        -3.63499                        -1.91351
19-01-2024 00:13:30.000.002.011                         2.57659                        -2.86310                        -2.96206
19-01-2024 00:14:29.999.998.435                         3.00046                        -1.60316                        -3.49690
19-01-2024 00:15:30.000.004.917                         2.75716                        -2.45067                        -3.13693
19-01-2024 00:16:30.000.001.341                         2.24570                        -1.91610                        -3.86532
19-01-2024 00:17:29.999.997.764                         1.10144                        -3.31026                        -3.39735
19-01-2024 00:18:30.000.004.246                         1.37337                       -0.769146                        -4.19034
19-01-2024 00:19:30.000.000.670                        0.540623                        0.660748                        -4.64853
19-01-2024 00:20:29.999.997.094                        0.216026                         2.18945                        -4.19380
19-01-2024 00:21:30.000.003.576                         2.60412                        -3.38995                        0.162851
19-01-2024 00:22:30.000.000.000                         1.13022                        -3.95834                         1.46840
19-01-2024 00:23:29.999.996.423                         2.38531                        -3.73297                      -0.0554034
19-01-2024 00:24:30.000.002.905                         1.66367                        -3.82688                        0.876704
19-01-2024 00:25:29.999.999.329                         2.29719                        -2.46740                         2.78585
19-01-2024 00:26:29.999.995.753                         1.67086                       -0.663630                         3.80303
19-01-2024 00:27:30.000.002.235                         2.99044                        -2.25942                         2.28364
19-01-2024 00:28:29.999.998.658                        0.762746                        -1.89204                         3.64096
19-01-2024 00:29:29.999.995.082                         1.58250                        -3.11055                         2.43474
19-01-2024 00:30:30.000.001.564                         1.18418                        -3.82367                         1.82749
19-01-2024 00:31:29.999.997.988                         2.55655                        -3.56670                       0.0928220
19-01-2024 00:32:30.000.004.470                         3.67145                        -1.64547                         1.09919
19-01-2024 00:33:30.000.000.894                         2.79526                        -2.11961                        -2.70486
19-01-2024 00:34:29.999.997.317                         2.89745                        -1.62881                        -2.85776
19-01-2024 00:35:30.000.003.799                         2.83387                         1.78870                        -2.36300
19-01-2024 00:36:30.000.000.223                         3.06882                        0.214896                        -2.05520
19-01-2024 00:37:29.999.996.647                         2.32411                         2.47111                        -1.63721
19-01-2024 00:38:30.000.003.129                         3.48098                       -0.850210                       -0.366062
19-01-2024 00:39:29.999.999.552                        0.956323                        -2.46225                         1.37011
19-01-2024 00:40:29.999.995.976                        -1.34334                       -0.193967                         3.10916
19-01-2024 00:41:30.000.002.458                         3.58029                       -0.322517                        0.791946
19-01-2024 00:42:29.999.998.882                         2.62928                        -1.84177                        -1.58080
19-01-2024 00:43:29.999.995.306                         2.01855                        -3.00132                        0.749577
19-01-2024 00:44:30.000.001.788                         1.12706                       -0.374808                        -2.02399
19-01-2024 00:45:29.999.998.211                        -1.57652                        0.864689                         2.20080
