#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     PROJECT                         STP>Solar-Terrestrial Physics
#     SOURCE_NAME                     SOLO>Solar Orbiter
#     DISCIPLINE                      Solar Physics>Heliospheric Physics
#     DATA_TYPE                       L2>Level 2 Calibrated Data
#     DESCRIPTOR                      SWA-PAS>Solar Wind Analyser / Proton-Alpha Sensor
#     DATA_VERSION                    02
#     PI_NAME                         C.J. Owen
#     PI_AFFILIATION                  MSSL-UCL, University College London, UK
#     TEXT                            Moments computed from the Proton part of ion distribution function measured                           
#                                      by PAS                                                                                                
#     INSTRUMENT_TYPE                 Plasma and Solar Wind
#     MISSION_GROUP                   Solar Orbiter
#     LOGICAL_SOURCE                  solo_L2_swa-pas-grnd-mom
#     LOGICAL_FILE_ID                 solo_L2_swa-pas-grnd-mom_20200707_V02
#     LOGICAL_SOURCE_DESCRIPTION      Solar Orbiter Level 2 Ground Calculated Moments Data from Solar Wind Analyser                         
#                                      (SWA) Proton-Alpha Sensor (PAS)                                                                       
#     RULES_OF_USE                    Consult with MSSL-UCL before using
#     GENERATED_BY                    IRAP - Toulouse
#     GENERATION_DATE                 2024-02-13T13:14:27
#     MODS                            2020/10/26 - A. Fedorov, A. Barthe - Initial version
#     SOFTWARE_VERSION                pas_process_9_1 - 2021/12/02
#     CALIBRATION_VERSION             solo_CAL_catalog_20211108_V83.txt
#     PARENTS                         solo_L1_swa-pas-3d_20240211_V01.cdf
#                                     solo_ANC_soc-flown-mk_V111_20240212_002.tm
#     CDAWEB_PARENTS                  solo_l2_swa-pas-grnd-mom_00000000_v01
#                                     solo_l2_swa-pas-grnd-mom_20240211_v02, solo_l2_swa-pas-grnd-mom_20240212_v02
#                                     solo_l2_swa-pas-grnd-mom_20240213_v02, solo_l2_swa-pas-grnd-mom_20240214_v02
#                                     solo_l2_swa-pas-grnd-mom_20240215_v02
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Epoch encoded as Terrestrial Time on rotating Earth geoid, ns since J2000
#  2. Density
#  3. Temperature
#  4. Velocity in RTN frame
#
EPOCH                                 DENSITY   TEMPERATURE        VR_RTN        VT_RTN        VN_RTN
dd-mm-yyyy hh:mm:ss.mil.mic.nan         cm^-3            eV          km/s          km/s          km/s
11-02-2024 18:43:01.839.038.000       5.80736       9.58451       373.236      -2.75504      -5.78493
11-02-2024 18:43:03.839.042.000       6.01472       9.67472       373.484      -1.90879      -9.80626
11-02-2024 18:43:05.839.046.000       5.86432       10.0014       374.685      -1.75191      -6.30964
11-02-2024 18:43:07.839.049.000       5.98155       9.92243       374.220      -4.58825      -9.84929
11-02-2024 18:43:09.839.053.000       5.69507       10.3495       372.991      -2.76555      -7.49038
11-02-2024 18:43:11.839.056.000       5.61996       9.96090       374.252      -2.00557      -8.87749
11-02-2024 18:43:13.839.060.000       5.98793       9.98003       370.770      -1.93341      -7.06145
11-02-2024 18:43:15.839.064.000       6.06899       10.1525       374.313      -2.31325      -10.6118
11-02-2024 18:43:17.839.067.000       6.00379       9.86302       373.794      -2.09326      -6.55067
11-02-2024 18:43:19.839.071.000       5.86693       9.45052       371.034       2.68991      -8.17655
11-02-2024 18:43:21.839.075.000       6.00436       10.2091       372.483      -2.61758      -8.05291
11-02-2024 18:43:23.839.078.000       5.95935       10.4017       375.468      -1.88568      -8.84520
11-02-2024 18:43:25.839.082.000       6.13547       9.54239       374.319       1.53773      -10.9357
11-02-2024 18:43:27.839.085.000       5.77352       9.45443       370.690      -5.72962      -7.16689
11-02-2024 18:43:29.839.089.000       5.71423       9.34096       373.972      0.267754      -12.3832
11-02-2024 18:43:31.839.093.000       5.86188       10.0900       372.921      -2.76200      -5.80966
11-02-2024 18:43:33.839.096.000       6.11493       9.46043       375.146      -2.52852      -10.7765
11-02-2024 18:43:37.839.103.000       5.87938       9.78386       372.352      -1.35905      -8.75179
11-02-2024 18:43:41.839.111.000       5.84745       9.26643       374.095      -3.84668      -7.31675
11-02-2024 18:43:43.839.114.000       6.15526       9.84313       372.341       1.16276      -8.50226
11-02-2024 18:43:45.839.118.000       5.81465       9.95322       376.273      -5.47555      -9.07413
11-02-2024 18:43:47.839.122.000       6.08239       10.4705       374.331     0.0646472      -9.36873
11-02-2024 18:43:49.839.125.000       5.82789       9.65579       371.207     -0.335664      -9.78153
11-02-2024 18:43:51.839.129.000       5.90391       10.0998       374.559     -0.676386      -7.23852
