#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     TITLE                           PSP FIELDS Fluxgate Magnetometer (MAG) data
#     PROJECT                         PSP
#     DISCIPLINE                      Solar Physics>Heliospheric Physics
#                                     Space Physics>Interplanetary Studies
#     SOURCE_NAME                     PSP_FLD>Parker Solar Probe FIELDS
#     DESCRIPTOR                      MAG_RTN_1min>Fluxgate Magnetometer data in RTN coordinates
#     DATA_TYPE                       L2>Level 2 Data
#     DATA_VERSION                    01
#     TEXT                            PSP FIELDS Fluxgate Magnetometer data. Time resolution varies with instrument                         
#                                      mode, ranging from 2.3-292.9 samples/sec, corresponding to 2-256 samples per                          
#                                      0.874 seconds (0.874 = 2^25 / 38.4 MHz, see reference [2]).                                           
#                                     The Magnetometer has 4 ranges - +/-1024, +/-4096, +/-16,384, +/-65,536 nT, selected                   
#                                      by the ranging algorithm, based on the ambient magnetic field. Precision is                           
#                                      +/- 15 bits, based on the 16-bit ADC.                                                                 
#                                     References:
#                                     1. Fox, N.J., Velli, M.C., Bale, S.D. et al. Space Sci Rev (2016) 204: 7. https://doi.org/10.1007/s112
#                                     2. Bale, S.D., Goetz, K., Harvey, P.R. et al. Space Sci Rev (2016) 204: 49.                           
#                                      https://doi.org/10.1007/s11214-016-0244-5                                                             
#     MODS                            Version 1
#     LOGICAL_FILE_ID                 psp_fld_l2_mag_RTN_1min_20190220_v01
#     LOGICAL_SOURCE                  psp_fld_l2_mag_RTN_1min
#     LOGICAL_SOURCE_DESCRIPTION      PSP FIELDS 1 minute cadence Fluxgate Magnetometer (MAG) data in RTN coordinates
#     PI_NAME                         Stuart D. Bale (bale@berkeley.edu)
#     PI_AFFILIATION                  UC Berkeley Space Sciences Laboratory
#     INSTRUMENT_TYPE                 Magnetic Fields (space)
#     MISSION_GROUP                   Parker Solar Probe (PSP)
#     PARENTS                         spp_fld_l1_mago_hk_20190220_v00.cdf
#                                     spp_fld_l1_mago_hk_20190221_v00.cdf, spp_fld_l1_mago_survey_20190220_v00.cdf
#                                     spp_fld_l1_mago_survey_20190221_v00.cdf
#     MAG_OFFSET_CALIBRATION_FILES    psp_mago_zeros_range0_2019_v03.dat
#     DEPENDENCIES                    None
#     FILE_NAMING_CONVENTION          source_datatype_descriptor_yyyyMMdd
#     SPASE_DATASETRESOURCEID         spase://NASA/NumericalData/ParkerSolarProbe/FIELDS/MAG/Level2/RTN/PT1M
#     GENERATED_BY                    PSP FIELDS SOC
#     RULES_OF_USE                    PSP/FIELDS Rules of the Road available at http://fields.ssl.berkeley.edu/rules/
#     GENERATION_DATE                 Tue Nov  5 21:37:36 2019
#     HTTP_LINK                       http://fields.ssl.berkeley.edu/data/
#     LINK_TEXT                       PSP/FIELDS SOC
#     LINK_TITLE                      Data Link
#     TIME_RESOLUTION                 1 minute
#     SVN_VERSION                     25679
#     DOI                             https://doi.org/10.48322/c0zj-xf76
#     CDAWEB_PARENTS                  psp_fld_l2_mag_rtn_1min_00000000_v01
#                                     psp_fld_l2_mag_rtn_1min_20240416_v02, psp_fld_l2_mag_rtn_1min_20240417_v02
#                                     psp_fld_l2_mag_rtn_1min_20240418_v02, psp_fld_l2_mag_rtn_1min_20240419_v02
#                                     psp_fld_l2_mag_rtn_1min_20240420_v02
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Time in TT2000 for 1 minute cadence MAG waveform data
#  2. Magnetic field in RTN coordinates (1 minute cadence)
#
EPOCH                                                       B_R                             B_T                             B_N
                                                         (@_1_)                          (@_2_)                          (@_3_)
dd-mm-yyyy hh:mm:ss.mil.mic.nan                              nT                              nT                              nT
16-04-2024 23:45:30.000.000.000                             NaN                             NaN                             NaN
16-04-2024 23:46:30.000.000.000                             NaN                             NaN                             NaN
16-04-2024 23:47:30.000.000.000                         3.78896                        -12.1012                        -2.52166
16-04-2024 23:48:30.000.000.000                         1.75829                        -12.5118                        -2.52412
16-04-2024 23:49:30.000.000.000                        -1.10934                        -14.0433                         2.23788
16-04-2024 23:50:30.000.000.000                        -2.05809                        -13.5660                         4.80383
16-04-2024 23:51:30.000.000.000                       -0.648483                        -12.1153                         6.69438
16-04-2024 23:52:30.000.000.000                        -1.55714                        -11.3160                         6.19080
16-04-2024 23:53:30.000.000.000                      -0.0825089                        -10.3659                        -4.50829
16-04-2024 23:54:30.000.000.000                         1.56264                        -10.1179                        -7.53640
16-04-2024 23:55:30.000.000.000                         3.96880                        -9.71399                        -2.23475
16-04-2024 23:56:30.000.000.000                         8.59190                        -9.65359                         3.22342
16-04-2024 23:57:30.000.000.000                         5.54317                        -12.0279                        -3.44441
16-04-2024 23:58:30.000.000.000                         5.47196                        -10.4918                        -5.07626
16-04-2024 23:59:30.000.000.000                         6.29524                        -11.0999                        -2.83940
17-04-2024 00:00:30.000.000.000                         7.13673                        -10.7005                        -3.23521
17-04-2024 00:01:30.000.000.000                         8.38021                        -9.37621                        -3.81229
17-04-2024 00:02:30.000.000.000                         7.79629                        -8.74525                        -5.59354
17-04-2024 00:03:30.000.000.000                         7.34084                        -6.89365                        -7.36506
17-04-2024 00:04:30.000.000.000                        -5.83716                        -11.7256                         4.52349
17-04-2024 00:05:30.000.000.000                        -4.45645                        -13.0416                         3.62656
17-04-2024 00:06:30.000.000.000                        -3.43824                        -13.4127                         4.72738
17-04-2024 00:07:30.000.000.000                        -2.50441                        -13.0705                         4.05818
17-04-2024 00:08:30.000.000.000                        -2.34057                        -12.5028                         5.00149
17-04-2024 00:09:30.000.000.000                        -2.87413                        -13.2677                         4.34958
17-04-2024 00:10:30.000.000.000                       -0.597628                        -13.6944                         1.91861
17-04-2024 00:11:30.000.000.000                        -1.14683                        -13.9423                       -0.397349
17-04-2024 00:12:30.000.000.000                       -0.505448                        -13.5778                        -1.96794
17-04-2024 00:13:30.000.000.000                         1.00910                        -12.4817                        -5.24070
17-04-2024 00:14:30.000.000.000                        0.256694                        -12.5624                        -4.75214
17-04-2024 00:15:30.000.000.000                      -0.0691444                        -12.0664                        -4.69363
17-04-2024 00:16:30.000.000.000                       0.0238445                        -9.74536                        -7.74851
17-04-2024 00:17:30.000.000.000                        -1.40935                        -8.89907                        -8.52229
17-04-2024 00:18:30.000.000.000                        -3.29635                        -9.77574                        -7.77245
17-04-2024 00:19:30.000.000.000                        -1.96694                        -10.9517                        -6.72308
17-04-2024 00:20:30.000.000.000                        -1.50297                        -11.3880                        -6.82067
17-04-2024 00:21:30.000.000.000                       -0.183220                        -11.5144                        -6.48952
17-04-2024 00:22:30.000.000.000                       -0.126748                        -12.1994                        -5.24475
17-04-2024 00:23:30.000.000.000                        -2.46262                        -12.0116                        -5.86789
17-04-2024 00:24:30.000.000.000                        -1.39173                        -12.3394                        -5.69538
17-04-2024 00:25:30.000.000.000                        -2.68200                        -12.8311                        -2.28529
17-04-2024 00:26:30.000.000.000                        -3.51507                        -13.4508                        -2.04578
17-04-2024 00:27:30.000.000.000                        -3.36099                        -13.0392                        -2.55772
17-04-2024 00:28:30.000.000.000                        -3.49864                        -13.1529                        -1.62227
17-04-2024 00:29:30.000.000.000                        -1.60289                        -13.4881                        0.317186
17-04-2024 00:30:30.000.000.000                        -1.21133                        -13.4699                        0.597785
17-04-2024 00:31:30.000.000.000                        -1.04104                        -13.5905                        0.950065
17-04-2024 00:32:30.000.000.000                        -1.10313                        -13.4954                         1.60067
17-04-2024 00:33:30.000.000.000                        -1.61296                        -13.5235                         1.13721
17-04-2024 00:34:30.000.000.000                        -3.35111                        -11.7904                         4.47837
17-04-2024 00:35:30.000.000.000                        -4.01923                        -10.4090                         5.06269
17-04-2024 00:36:30.000.000.000                         1.45763                        -10.3819                        -6.82850
17-04-2024 00:37:30.000.000.000                        0.751747                        -10.7375                        -3.82573
17-04-2024 00:38:30.000.000.000                       -0.114457                        -12.0541                         4.21881
17-04-2024 00:39:30.000.000.000                        -1.22147                        -12.3809                        0.838607
17-04-2024 00:40:30.000.000.000                       0.0608765                        -12.2451                       -0.389239
17-04-2024 00:41:30.000.000.000                       -0.984374                        -11.4122                         3.86817
17-04-2024 00:42:30.000.000.000                         1.12367                        -10.6387                        -3.17818
17-04-2024 00:43:30.000.000.000                         2.39041                        -12.1169                         1.24089
17-04-2024 00:44:30.000.000.000                         2.91017                        -11.5090                         1.35522
17-04-2024 00:45:30.000.000.000                         2.28899                        -11.3334                        -2.73751
17-04-2024 00:46:30.000.000.000                         5.23888                        -8.67465                         5.67002
17-04-2024 00:47:30.000.000.000                       -0.466984                        -11.5547                       -0.656056
17-04-2024 00:48:30.000.000.000                        -2.67456                        -11.6763                         2.87576
17-04-2024 00:49:30.000.000.000                        0.197589                        -10.9086                        -3.79203
17-04-2024 00:50:30.000.000.000                       -0.454934                        -9.17526                        -8.31044
17-04-2024 00:51:30.000.000.000                         1.52523                        -7.45219                        -9.68848
17-04-2024 00:52:30.000.000.000                        0.842145                        -6.41646                        -9.97148
17-04-2024 00:53:30.000.000.000                         2.00549                        -9.57609                        -6.54721
17-04-2024 00:54:30.000.000.000                         1.41817                        -11.8316                        -1.83486
17-04-2024 00:55:30.000.000.000                        0.534886                        -11.2243                       -0.509628
17-04-2024 00:56:30.000.000.000                         4.40345                        -6.38275                         8.28857
17-04-2024 00:57:30.000.000.000                         5.44638                        -5.88069                         6.73984
17-04-2024 00:58:30.000.000.000                         6.38019                        -6.11377                         7.01300
17-04-2024 00:59:30.000.000.000                         6.31607                        -7.83381                        -2.53841
17-04-2024 01:00:30.000.000.000                         9.28963                        -2.98633                        -5.77131
17-04-2024 01:01:30.000.000.000                         8.80295                        -6.11272                       -0.418060
17-04-2024 01:02:30.000.000.000                        -2.62528                        -8.37246                         8.02801
17-04-2024 01:03:30.000.000.000                        0.435491                        -10.1184                         5.94610
17-04-2024 01:04:30.000.000.000                         1.32793                        -9.69846                         6.79812
17-04-2024 01:05:30.000.000.000                        0.512461                        -8.01360                         9.11711
17-04-2024 01:06:30.000.000.000                         1.52018                        -10.1442                         2.50301
17-04-2024 01:07:30.000.000.000                         7.91871                        -3.97973                         5.46376
17-04-2024 01:08:30.000.000.000                         5.78157                        -8.90001                         4.80173
17-04-2024 01:09:30.000.000.000                         3.65546                        -11.0849                         1.81566
17-04-2024 01:10:30.000.000.000                         2.33359                        -11.8476                         1.00137
17-04-2024 01:11:30.000.000.000                         4.93389                        -7.57844                         2.71557
17-04-2024 01:12:30.000.000.000                         1.74702                        -11.2284                        -2.95230
17-04-2024 01:13:30.000.000.000                         8.33006                        -8.31659                         2.25889
17-04-2024 01:14:30.000.000.000                         7.88890                        -8.37769                        -1.45794
17-04-2024 01:15:30.000.000.000                         6.61174                        -9.57161                        -2.76490
17-04-2024 01:16:30.000.000.000                         6.18389                        -9.85676                        -2.00444
17-04-2024 01:17:30.000.000.000                         3.61767                        -9.27708                        -6.07058
17-04-2024 01:18:30.000.000.000                         1.03884                        -9.68820                        -5.33604
17-04-2024 01:19:30.000.000.000                         2.20436                        -9.93575                        -4.91681
17-04-2024 01:20:30.000.000.000                         4.72775                        -9.48724                       -0.920960
17-04-2024 01:21:30.000.000.000                         3.96212                        -11.9130                       -0.570453
17-04-2024 01:22:30.000.000.000                         4.97314                        -11.4730                        -2.40474
17-04-2024 01:23:30.000.000.000                         4.61858                        -10.8732                        -4.18921
17-04-2024 01:24:30.000.000.000                         1.49646                        -11.0606                        -5.75650
17-04-2024 01:25:30.000.000.000                        -1.40305                        -10.7588                        -6.94078
17-04-2024 01:26:30.000.000.000                        -3.20617                        -10.1508                        -5.83961
17-04-2024 01:27:30.000.000.000                        -5.78614                        -11.3134                        0.490171
17-04-2024 01:28:30.000.000.000                        -2.40019                        -11.0266                        -5.06497
17-04-2024 01:29:30.000.000.000                       -0.527623                        -11.5316                        -3.27588
17-04-2024 01:30:30.000.000.000                        -3.72771                        -11.1813                        -3.89804
17-04-2024 01:31:30.000.000.000                        0.545704                        -11.4112                        -3.55398
17-04-2024 01:32:30.000.000.000                        0.534141                        -10.0210                        -6.75900
17-04-2024 01:33:30.000.000.000                         5.40361                        -7.84466                        -4.65704
17-04-2024 01:34:30.000.000.000                         10.3706                        -6.09006                        -3.19926
17-04-2024 01:35:30.000.000.000                         11.1619                        -5.42058                        -2.04858
17-04-2024 01:36:30.000.000.000                         11.5630                        -4.35775                        -3.09956
17-04-2024 01:37:30.000.000.000                         12.0426                        -3.60783                        -2.47166
17-04-2024 01:38:30.000.000.000                         10.2769                        -3.93261                        -6.21261
17-04-2024 01:39:30.000.000.000                         8.74913                        -3.88281                        -8.20537
17-04-2024 01:40:30.000.000.000                         4.84906                        -8.53547                        -7.19997
17-04-2024 01:41:30.000.000.000                         1.39201                        -11.8188                        -5.67008
17-04-2024 01:42:30.000.000.000                         2.18776                        -11.1734                        -6.73627
17-04-2024 01:43:30.000.000.000                         2.21739                        -11.1254                        -6.90591
17-04-2024 01:44:30.000.000.000                         4.52915                        -9.84300                        -7.06666
17-04-2024 01:45:30.000.000.000                         2.91549                        -9.63477                        -7.81744
17-04-2024 01:46:30.000.000.000                         4.91906                        -9.20047                        -7.97186
17-04-2024 01:47:30.000.000.000                             NaN                             NaN                             NaN
17-04-2024 01:48:30.000.000.000                             NaN                             NaN                             NaN
17-04-2024 06:10:30.000.000.000                             NaN                             NaN                             NaN
17-04-2024 06:11:30.000.000.000                             NaN                             NaN                             NaN
17-04-2024 06:12:30.000.000.000                         5.51206                        -8.18651                         5.76319
17-04-2024 06:13:30.000.000.000                         4.78897                        -8.48370                         6.58238
17-04-2024 06:14:30.000.000.000                         5.15385                        -7.69285                         7.75399
17-04-2024 06:15:30.000.000.000                         5.74749                        -8.36788                         6.81785
17-04-2024 06:16:30.000.000.000                         6.03323                        -6.79085                         8.19875
17-04-2024 06:17:30.000.000.000                         6.44790                        -6.65150                         7.86501
17-04-2024 06:18:30.000.000.000                         5.54189                        -6.11781                         8.50145
17-04-2024 06:19:30.000.000.000                         5.56972                        -5.94715                         8.47606
17-04-2024 06:20:30.000.000.000                         5.06514                        -6.65294                         6.54221
17-04-2024 06:21:30.000.000.000                         3.34455                        -10.5782                         3.79981
17-04-2024 06:22:30.000.000.000                         5.46029                        -8.84718                         6.39363
17-04-2024 06:23:30.000.000.000                         5.26036                        -8.38892                         6.91447
17-04-2024 06:24:30.000.000.000                         5.68194                        -9.17429                         5.91869
17-04-2024 06:25:30.000.000.000                         6.49405                        -6.61201                         7.08010
17-04-2024 06:26:30.000.000.000                         6.50535                        -4.03868                         6.53436
17-04-2024 06:27:30.000.000.000                         7.09211                        -8.75825                         5.66488
17-04-2024 06:28:30.000.000.000                         7.54023                        -7.02195                         7.33412
17-04-2024 06:29:30.000.000.000                         7.19090                        -6.84417                         7.64718
17-04-2024 06:30:30.000.000.000                         7.66128                        -6.44441                         8.05675
17-04-2024 06:31:30.000.000.000                         7.35409                        -7.55692                         8.00514
17-04-2024 06:32:30.000.000.000                         7.28908                        -6.84531                         8.17985
17-04-2024 06:33:30.000.000.000                         5.18304                        -7.70444                         3.82097
17-04-2024 06:34:30.000.000.000                         3.14329                        -10.2226                         2.34845
17-04-2024 06:35:30.000.000.000                         1.89081                        -10.5411                         2.45246
17-04-2024 06:36:30.000.000.000                         5.80094                        -6.72884                         4.52338
17-04-2024 06:37:30.000.000.000                         5.17681                        -6.16678                         6.42396
17-04-2024 06:38:30.000.000.000                         5.86393                        -4.34224                         7.01889
17-04-2024 06:39:30.000.000.000                         6.00688                        -1.41595                         7.64418
17-04-2024 06:40:30.000.000.000                         4.95723                        -3.90114                         7.22530
