#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     PROJECT                         Solar Orbiter
#     SOURCE_NAME                     SOLO>Solar Orbiter
#     DISCIPLINE                      Space Physics>Interplanetary Studies
#     DATA_TYPE                       L2>Level 2 Calibrated Data
#     DESCRIPTOR                      MAG>Magnetometer
#     DATA_VERSION                    01
#     SOFTWARE_VERSION                2.26.1
#     SKELETON_VERSION                11
#     PI_NAME                         T. Horbury
#     PI_AFFILIATION                  The Blackett Laboratory, Imperial College London
#     TEXT                            Dual-sensor, triaxial fluxgate magnetometer
#                                     doi:10.1051/0004-6361/201937257
#     INSTRUMENT_TYPE                 Magnetic Fields (space)
#     MISSION_GROUP                   Solar Orbiter
#     LOGICAL_SOURCE                  solo_L2_mag-rtn
#     LOGICAL_FILE_ID                 solo_L2_mag-rtn-normal-1-minute
#     LOGICAL_SOURCE_DESCRIPTION      Solar Orbiter Magnetometer L2 Data
#     RULES_OF_USE                    Publication quality. Take note of Quality Flag and refer to SOL-MAG-DPDD for                          
#                                      exceptions                                                                                            
#     GENERATED_BY                    The Blackett Laboratory, Imperial College London
#     GENERATION_DATE                 2024-05-13T17:07:22
#     MODS                            V01 2019/12/11 I. Carrasco: Initial release
#                                     V02 2019/12/18 I. Carrasco: Second release
#                                     V03 2020/03/17 H. O'Brien: Third release
#                                     V04 2020/03/27 V. Evans: Fourth release
#                                     V05 2020/03/30 V. Evans: Fifth release
#                                     V06 2020/03/31 V. Evans: Sixth release
#                                     V07 2020/05/01 V. Angelini: Seventh release
#                                     V08 2020/06/18 V. Angelini: Eighth release
#                                     V07 2020/07/27 V. Angelini: Ninth release
#                                     V10 2020/08/18 V. Angelini: Tenth release
#                                     V11 2020/09/11 V. Angelini: Eleventh release
#     LEVEL                           L2>Level 2 Calibrated Data
#     PARENTS                         Time-conversion (OBT to UTC): solo_ANC_soc-flown-mk_V111_20240212_002.tm
#                                     solo_CAL_mag-obs-burst-bitshift_V01.csv, solo_CAL_mag-ibs-burst-bitshift_V01.csv
#                                     solo_L0_mag-obs-burst-puc_20240211_V01.csv, solo_L0_mag-ibs-burst-puc_20240211_V01.csv
#                                     L1 filename: solo_L1_mag-obs-burst_20240211_V01.cdf, MAG Heater Cleaning: HeaterProfile_2024-02-11_V001.mat
#                                     Spacecraft Heater Cleaning: LCLProfile-20220117T111248.mat, L2 attitude transformation: solo_ANC_soc-flown-mk_V111_20240304_005.tm
#                                     solo_L2_mag-rtn-normal-1-minute-internal_20240211_V01.cdf
#     INSTRUMENT_NAME                 MAG
#     ACKNOWLEDGEMENT                 Solar Orbiter magnetometer data was provided by Imperial College Londonand supported                  
#                                      by the UK Space Agency                                                                                
#     LINK_TEXT                       Solar Orbiter MAG
#     LINK_TITLE                      Homepage
#                                     https://www.imperial.ac.uk/space-and-atmospheric-physics/research/missions-and-projects/space-missions
#     SOOP_TYPE                       NA
#     OBS_ID                          NA
#     DATA_PRODUCT                    RTN > Data in RTN coordinates
#     CDAWEB_PARENTS                  solo_l2_mag-rtn-normal-1-minute_00000000_v01
#                                     solo_l2_mag-rtn-normal-1-minute_20240211_v01, solo_l2_mag-rtn-normal-1-minute_20240212_v01
#                                     solo_l2_mag-rtn-normal-1-minute_20240213_v01, solo_l2_mag-rtn-normal-1-minute_20240214_v01
#                                     solo_l2_mag-rtn-normal-1-minute_20240215_v01
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Epoch encoded as Terrestrial Time on rotating Earth geoid, ns since J2000
#  2. Magnetic field vector in RTN coordinates
#
EPOCH                                                       B_R                             B_T                             B_N
dd-mm-yyyy hh:mm:ss.mil.mic.nan                              nT                              nT                              nT
11-02-2024 18:43:29.999.995.306                         5.25367                        -1.38769                         1.83448
11-02-2024 18:44:30.000.001.788                         5.35543                        -1.43433                         1.37922
11-02-2024 18:45:29.999.998.211                         5.22399                        -1.35698                         1.92468
11-02-2024 18:46:30.000.004.693                         5.34184                        -1.13174                         1.18617
11-02-2024 18:47:30.000.001.117                         5.26966                       -0.777654                         1.55476
11-02-2024 18:48:29.999.997.541                         5.41053                       -0.617737                         1.26523
11-02-2024 18:49:30.000.004.023                         5.51843                        0.327486                        0.372059
11-02-2024 18:50:30.000.000.447                         5.41089                        0.742127                       -0.123983
11-02-2024 18:51:29.999.996.870                         5.32764                         1.07174                        0.905003
11-02-2024 18:52:30.000.003.352                         5.49331                        0.592727                        0.682397
11-02-2024 18:53:29.999.999.776                         5.76080                       -0.182218                        0.491141
11-02-2024 18:54:29.999.996.200                         5.51395                        -1.62999                         1.40680
11-02-2024 18:55:30.000.002.682                         5.63180                       -0.856126                         1.42367
11-02-2024 18:56:29.999.999.105                         5.81913                        0.484478                        0.733912
11-02-2024 18:57:29.999.995.529                         5.75276                        0.751393                        0.714475
11-02-2024 18:58:30.000.002.011                         5.79873                        0.450199                        0.731270
11-02-2024 18:59:29.999.998.435                         5.69887                       -0.115836                         1.01611
11-02-2024 19:00:30.000.004.917                         5.66981                        0.232124                        0.554617
11-02-2024 19:01:30.000.001.341                         5.72383                      -0.0707290                        0.823804
11-02-2024 19:02:29.999.997.764                         5.64306                       -0.481946                        0.673843
11-02-2024 19:03:30.000.004.246                         5.61393                       -0.222973                        0.666192
11-02-2024 19:04:30.000.000.670                         5.64771                      -0.0792556                        0.843266
11-02-2024 19:05:29.999.997.094                         5.76810                       -0.201486                        0.609889
11-02-2024 19:06:30.000.003.576                         5.78321                       -0.316613                        0.449203
11-02-2024 19:07:30.000.000.000                         5.64964                       -0.678054                        0.546794
11-02-2024 19:08:29.999.996.423                         5.67784                       -0.405757                        0.759220
11-02-2024 19:09:30.000.002.905                         5.73867                       -0.580731                        0.483359
11-02-2024 19:10:29.999.999.329                         5.73591                       -0.496040                        0.736044
11-02-2024 19:11:29.999.995.753                         5.65308                       -0.334128                        0.607630
11-02-2024 19:12:30.000.002.235                         5.53826                       -0.422101                        0.703080
11-02-2024 19:13:29.999.998.658                         5.42942                       -0.347194                         1.18294
11-02-2024 19:14:29.999.995.082                         5.52858                      -0.0140491                        0.525162
11-02-2024 19:15:30.000.001.564                         5.47052                        0.208261                        0.291391
11-02-2024 19:16:29.999.997.988                         5.59979                        0.591299                       -0.113428
11-02-2024 19:17:30.000.004.470                         5.53050                        0.127191                        0.312692
11-02-2024 19:18:30.000.000.894                         5.50432                        0.342010                     -0.00804139
11-02-2024 19:19:29.999.997.317                         5.33537                        0.393048                        0.374188
11-02-2024 19:20:30.000.003.799                         5.30314                      -0.0425504                       -0.370698
11-02-2024 19:21:30.000.000.223                         5.31490                        0.766028                      0.00104100
11-02-2024 19:22:29.999.996.647                         5.31464                        0.509229                       0.0304924
11-02-2024 19:23:30.000.003.129                         5.28475                        0.166904                        0.299416
11-02-2024 19:24:29.999.999.552                         5.21797                        0.399792                      -0.0411683
11-02-2024 19:25:29.999.995.976                         5.22330                        0.257902                       0.0420093
11-02-2024 19:26:30.000.002.458                         5.32505                        0.139041                      -0.0678607
11-02-2024 19:27:29.999.998.882                         5.23690                        0.402238                       0.0533161
11-02-2024 19:28:29.999.995.306                         5.32982                        0.327279                       0.0956224
11-02-2024 19:29:30.000.001.788                         5.37577                        0.357511                       -0.628324
11-02-2024 19:30:29.999.998.211                         5.28233                        0.307862                        0.260103
11-02-2024 19:31:30.000.004.693                         5.10675                        0.517120                       -0.177793
11-02-2024 19:32:30.000.001.117                         4.96130                        0.613753                       -0.856121
11-02-2024 19:33:29.999.997.541                         4.78093                        0.404463                       -0.485666
11-02-2024 19:34:30.000.004.023                         4.81002                        0.194803                       -0.242208
11-02-2024 19:35:30.000.000.447                         4.61745                        0.592929                       -0.580699
11-02-2024 19:36:29.999.996.870                         4.74459                        0.370491                       -0.574581
11-02-2024 19:37:30.000.003.352                         4.94647                      -0.0734580                       -0.190496
11-02-2024 19:38:29.999.999.776                         4.91840                      -0.0752709                       -0.150916
11-02-2024 19:39:29.999.996.200                         5.14890                      -0.0854015                       0.0656055
11-02-2024 19:40:30.000.002.682                         5.11166                        0.117496                      -0.0929991
11-02-2024 19:41:29.999.999.105                         5.09719                       0.0987878                      0.00919151
11-02-2024 19:42:29.999.995.529                         4.97442                        0.131780                       0.0306688
11-02-2024 19:43:30.000.002.011                         4.91703                        0.174721                       0.0751162
11-02-2024 19:44:29.999.998.435                         4.81634                      -0.0184470                       -0.385461
11-02-2024 19:45:30.000.004.917                         4.75209                        0.506102                        0.305761
11-02-2024 19:46:30.000.001.341                         4.92841                        0.119160                       0.0177856
11-02-2024 19:47:29.999.997.764                         4.89749                        0.149560                       -0.306963
11-02-2024 19:48:30.000.004.246                         4.96611                        0.145569                        0.295445
11-02-2024 19:49:30.000.000.670                         4.86523                        0.373251                       -0.211601
11-02-2024 19:50:29.999.997.094                         4.78204                        0.208007                       -0.717652
11-02-2024 19:51:30.000.003.576                         4.71516                       -0.216964                       -0.844549
11-02-2024 19:52:30.000.000.000                         4.66320                       -0.368504                       -0.405167
11-02-2024 19:53:29.999.996.423                         4.59810                      -0.0688071                        -1.13232
11-02-2024 19:54:30.000.002.905                         4.70676                       -0.407237                       -0.733169
11-02-2024 19:55:29.999.999.329                         4.87445                       -0.281726                       -0.658439
11-02-2024 19:56:29.999.995.753                         4.90067                       -0.243377                       -0.771167
11-02-2024 19:57:30.000.002.235                         4.78375                       -0.474342                       -0.291003
11-02-2024 19:58:29.999.998.658                         4.81094                       -0.214696                       -0.199908
11-02-2024 19:59:29.999.995.082                         4.82181                       -0.291827                        0.150539
11-02-2024 20:00:30.000.001.564                         4.86413                       -0.189077                       0.0392822
11-02-2024 20:01:29.999.997.988                         4.95080                       -0.542265                       0.0441265
11-02-2024 20:02:30.000.004.470                         4.75562                       -0.109146                       -0.200238
11-02-2024 20:03:30.000.000.894                         4.84000                       -0.144225                       -0.455111
11-02-2024 20:04:29.999.997.317                         4.85196                       -0.171198                       -0.250610
11-02-2024 20:05:30.000.003.799                         4.83242                       0.0428370                       -0.454618
11-02-2024 20:06:30.000.000.223                         4.74055                      -0.0413239                       -0.414561
11-02-2024 20:07:29.999.996.647                         4.64800                       -0.211154                       -0.731646
11-02-2024 20:08:30.000.003.129                         4.65079                        0.623533                        -1.14778
11-02-2024 20:09:29.999.999.552                         4.76282                       -0.279674                       -0.729054
11-02-2024 20:10:29.999.995.976                         4.71466                       0.0363535                        -1.09111
11-02-2024 20:11:30.000.002.458                         4.79850                        0.585537                       -0.674004
11-02-2024 20:12:29.999.998.882                         4.82913                       -0.418726                       -0.782406
11-02-2024 20:13:29.999.995.306                         4.64111                        0.204463                        -1.11115
11-02-2024 20:14:30.000.001.788                         4.45388                        0.321536                        -1.87895
11-02-2024 20:15:29.999.998.211                         4.52837                        0.679176                        -1.02363
11-02-2024 20:16:30.000.004.693                         4.48438                        0.927647                        -1.71389
11-02-2024 20:17:30.000.001.117                         4.41434                        0.326482                        -1.73923
11-02-2024 20:18:29.999.997.541                         4.28680                       -0.299331                        -2.23491
11-02-2024 20:19:30.000.004.023                         4.63276                      -0.0723254                        -1.16646
11-02-2024 20:20:30.000.000.447                         4.49059                        0.572556                        -1.74712
11-02-2024 20:21:29.999.996.870                         3.89872                        0.240789                        -2.59353
11-02-2024 20:22:30.000.003.352                         4.23010                        0.122888                        -1.46300
11-02-2024 20:23:29.999.999.776                         4.44362                       -0.350266                       -0.807605
11-02-2024 20:24:29.999.996.200                         4.27065                        0.468163                        -1.14996
11-02-2024 20:25:30.000.002.682                         4.53182                        0.211924                       -0.761619
11-02-2024 20:26:29.999.999.105                         4.59604                        0.255237                       -0.819916
11-02-2024 20:27:29.999.995.529                         4.44164                       -0.143926                        -1.04455
11-02-2024 20:28:30.000.002.011                         4.38316                      -0.0471187                        -1.14125
11-02-2024 20:29:29.999.998.435                         4.31765                        0.174056                        -1.42256
11-02-2024 20:30:30.000.004.917                         4.22068                        0.280793                        -1.64266
11-02-2024 20:31:30.000.001.341                         4.33434                       -0.331464                       -0.904891
11-02-2024 20:32:29.999.997.764                         4.08755                       0.0888588                        -1.92550
11-02-2024 20:33:30.000.004.246                         4.26330                      -0.0288214                        -1.72883
11-02-2024 20:34:30.000.000.670                         4.54053                       0.0565449                       -0.876925
11-02-2024 20:35:29.999.997.094                         4.53238                        0.145008                       -0.489050
11-02-2024 20:36:30.000.003.576                         4.38921                       -0.475779                       -0.569797
11-02-2024 20:37:29.999.999.999                         4.38864                       -0.151850                       -0.688631
11-02-2024 20:38:29.999.996.423                         4.42658                      -0.0614848                       -0.945055
11-02-2024 20:39:30.000.002.905                         4.52627                        0.559794                      -0.0543215
11-02-2024 20:40:29.999.999.329                         4.43948                        0.494248                       -0.162437
11-02-2024 20:41:29.999.995.753                         4.44361                        0.557409                       -0.768469
11-02-2024 20:42:30.000.002.235                         4.35802                        0.630707                        -1.13498
11-02-2024 20:43:29.999.998.658                         4.24193                        0.444358                        -1.63020
11-02-2024 20:44:29.999.995.082                         4.10124                        0.455529                        -1.92338
11-02-2024 20:45:30.000.001.564                         4.11828                        0.485236                        -1.72861
11-02-2024 20:46:29.999.997.988                         4.04895                         1.19055                        -1.33796
11-02-2024 20:47:30.000.004.470                         4.15943                      -0.0780674                        -1.29557
11-02-2024 20:48:30.000.000.894                         4.11726                         1.22239                        -1.43690
11-02-2024 20:49:29.999.997.317                         3.92336                        0.414817                        -2.09103
11-02-2024 20:50:30.000.003.799                         4.18781                        0.447632                        -1.17596
11-02-2024 20:51:30.000.000.223                         3.97042                         1.22806                        -1.51276
11-02-2024 20:52:29.999.996.647                         3.82328                        0.803359                        -2.02077
11-02-2024 20:53:30.000.003.129                         3.96554                        0.939827                        -1.63083
11-02-2024 20:54:29.999.999.552                         4.52007                       -0.241601                       -0.975905
11-02-2024 20:55:29.999.995.976                         4.75490                       -0.164652                       -0.691199
11-02-2024 20:56:30.000.002.458                         4.77562                       -0.421256                       -0.720925
11-02-2024 20:57:29.999.998.882                         5.02576                       -0.820136                       -0.474881
11-02-2024 20:58:29.999.995.306                         5.01349                        -1.00572                       -0.230885
11-02-2024 20:59:30.000.001.788                         4.84630                        -1.28304                         1.38838
11-02-2024 21:00:29.999.998.211                         4.74446                        -1.64104                         1.18038
11-02-2024 21:01:30.000.004.693                         4.56534                        -1.80514                         1.44347
11-02-2024 21:02:30.000.001.117                         4.16373                        -2.09552                         2.11686
11-02-2024 21:03:29.999.997.541                         4.28364                        -2.04635                         1.99436
11-02-2024 21:04:30.000.004.023                         4.64439                        -1.27251                         1.51208
11-02-2024 21:05:30.000.000.447                         4.51843                        -1.49025                         1.37638
11-02-2024 21:06:29.999.996.870                         4.31349                        -2.45432                         1.41718
11-02-2024 21:07:30.000.003.352                         4.92716                       -0.673565                        0.590527
11-02-2024 21:08:29.999.999.776                         4.79394                        -1.23471                        0.211117
11-02-2024 21:09:29.999.996.200                         4.91969                       -0.529869                        0.259379
11-02-2024 21:10:30.000.002.682                         4.91877                       -0.572773                       -0.514556
11-02-2024 21:11:29.999.999.105                         5.13219                       -0.503297                      -0.0453536
11-02-2024 21:12:29.999.995.529                         5.02411                       -0.133881                       -0.289996
11-02-2024 21:13:30.000.002.011                         4.87627                       0.0281668                       -0.251445
11-02-2024 21:14:29.999.998.435                         4.79244                        0.240334                       -0.352801
11-02-2024 21:15:30.000.004.917                         4.81683                      0.00582976                        0.298432
11-02-2024 21:16:30.000.001.341                         4.89756                        0.126922                       -0.281448
11-02-2024 21:17:29.999.997.764                         4.93975                       0.0759608                        0.543112
11-02-2024 21:18:30.000.004.246                         4.80716                        0.382851                       -0.501769
11-02-2024 21:19:30.000.000.670                         4.76197                        0.391320                       -0.719323
11-02-2024 21:20:29.999.997.094                         4.87183                      -0.0399750                       -0.258322
11-02-2024 21:21:30.000.003.576                         4.87481                       -0.123879                       -0.699760
11-02-2024 21:22:30.000.000.000                         4.74409                      -0.0731242                        -1.08562
11-02-2024 21:23:29.999.996.423                         4.95184                       -0.136847                       -0.852670
11-02-2024 21:24:30.000.002.905                         4.87915                      -0.0774943                       -0.860242
11-02-2024 21:25:29.999.999.329                         4.81789                       -0.150212                        -1.12250
11-02-2024 21:26:29.999.995.753                         4.75617                       -0.194805                        -1.19846
11-02-2024 21:27:30.000.002.235                         4.70509                       -0.334162                        -1.08317
11-02-2024 21:28:29.999.998.658                         4.80297                       -0.431477                       -0.769007
11-02-2024 21:29:29.999.995.082                         4.75378                       -0.416073                        -1.01109
11-02-2024 21:30:30.000.001.564                         4.87358                       -0.456952                       -0.722762
11-02-2024 21:31:29.999.997.988                         4.97130                       -0.610935                       -0.650765
11-02-2024 21:32:30.000.004.470                         4.85338                       -0.734438                       -0.680907
11-02-2024 21:33:30.000.000.894                         4.88080                       -0.970224                       -0.805553
11-02-2024 21:34:29.999.997.317                         4.85546                       -0.736887                       -0.176509
11-02-2024 21:35:30.000.003.799                         4.78483                       -0.975498                       -0.183234
