#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     PROJECT                         Solar Orbiter
#     SOURCE_NAME                     SOLO>Solar Orbiter
#     DISCIPLINE                      Space Physics>Interplanetary Studies
#     DATA_TYPE                       L2>Level 2 Calibrated Data
#     DESCRIPTOR                      MAG>Magnetometer
#     DATA_VERSION                    01
#     SOFTWARE_VERSION                2.26.1
#     SKELETON_VERSION                11
#     PI_NAME                         T. Horbury
#     PI_AFFILIATION                  The Blackett Laboratory, Imperial College London
#     TEXT                            Dual-sensor, triaxial fluxgate magnetometer
#                                     doi:10.1051/0004-6361/201937257
#     INSTRUMENT_TYPE                 Magnetic Fields (space)
#     MISSION_GROUP                   Solar Orbiter
#     LOGICAL_SOURCE                  solo_L2_mag-rtn
#     LOGICAL_FILE_ID                 solo_L2_mag-rtn-normal-1-minute
#     LOGICAL_SOURCE_DESCRIPTION      Solar Orbiter Magnetometer L2 Data
#     RULES_OF_USE                    Publication quality. Take note of Quality Flag and refer to SOL-MAG-DPDD for                          
#                                      exceptions                                                                                            
#     GENERATED_BY                    The Blackett Laboratory, Imperial College London
#     GENERATION_DATE                 2024-04-23T15:38:18
#     MODS                            V01 2019/12/11 I. Carrasco: Initial release
#                                     V02 2019/12/18 I. Carrasco: Second release
#                                     V03 2020/03/17 H. O'Brien: Third release
#                                     V04 2020/03/27 V. Evans: Fourth release
#                                     V05 2020/03/30 V. Evans: Fifth release
#                                     V06 2020/03/31 V. Evans: Sixth release
#                                     V07 2020/05/01 V. Angelini: Seventh release
#                                     V08 2020/06/18 V. Angelini: Eighth release
#                                     V07 2020/07/27 V. Angelini: Ninth release
#                                     V10 2020/08/18 V. Angelini: Tenth release
#                                     V11 2020/09/11 V. Angelini: Eleventh release
#     LEVEL                           L2>Level 2 Calibrated Data
#     PARENTS                         Time-conversion (OBT to UTC): solo_ANC_soc-flown-mk_V110_20240108_001.tm
#                                     solo_CAL_mag-obs-burst-bitshift_V01.csv, solo_CAL_mag-ibs-burst-bitshift_V01.csv
#                                     solo_L0_mag-obs-burst-puc_20240106_V01.csv, solo_L0_mag-ibs-burst-puc_20240106_V01.csv
#                                     L1 filename: solo_L1_mag-obs-burst_20240106_V01.cdf, MAG Heater Cleaning: HeaterProfile_2024-01-06_V002.mat
#                                     Spacecraft Heater Cleaning: LCLProfile-20220117T111248.mat, L2 attitude transformation: solo_ANC_soc-flown-mk_V110_20240204_003.tm
#                                     solo_L2_mag-rtn-normal-1-minute-internal_20240106_V01.cdf
#     INSTRUMENT_NAME                 MAG
#     ACKNOWLEDGEMENT                 Solar Orbiter magnetometer data was provided by Imperial College Londonand supported                  
#                                      by the UK Space Agency                                                                                
#     LINK_TEXT                       Solar Orbiter MAG
#     LINK_TITLE                      Homepage
#                                     https://www.imperial.ac.uk/space-and-atmospheric-physics/research/missions-and-projects/space-missions
#     SOOP_TYPE                       NA
#     OBS_ID                          NA
#     DATA_PRODUCT                    RTN > Data in RTN coordinates
#     CDAWEB_PARENTS                  solo_l2_mag-rtn-normal-1-minute_00000000_v01
#                                     solo_l2_mag-rtn-normal-1-minute_20240106_v01, solo_l2_mag-rtn-normal-1-minute_20240107_v01
#                                     solo_l2_mag-rtn-normal-1-minute_20240108_v01, solo_l2_mag-rtn-normal-1-minute_20240109_v01
#                                     solo_l2_mag-rtn-normal-1-minute_20240110_v01
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Epoch encoded as Terrestrial Time on rotating Earth geoid, ns since J2000
#  2. Magnetic field vector in RTN coordinates
#
EPOCH                                                       B_R                             B_T                             B_N
dd-mm-yyyy hh:mm:ss.mil.mic.nan                              nT                              nT                              nT
06-01-2024 20:00:30.000.001.564                         1.08616                         3.43817                       -0.261415
06-01-2024 20:01:29.999.997.988                       -0.605153                         3.68039                        0.587026
06-01-2024 20:02:30.000.004.470                       -0.433241                         3.56425                        0.285368
06-01-2024 20:03:30.000.000.894                        0.412382                         3.54557                       -0.301627
06-01-2024 20:04:29.999.997.317                         2.16177                         2.43551                        -1.33743
06-01-2024 20:05:30.000.003.799                        0.799901                        -2.99580                        -1.01221
06-01-2024 20:06:30.000.000.223                        0.770667                        -3.72385                       -0.799033
06-01-2024 20:07:29.999.996.647                         1.87819                        -3.20101                        -1.53119
06-01-2024 20:08:30.000.003.129                         1.61300                        -3.72079                      -0.0761667
06-01-2024 20:09:29.999.999.552                         2.35286                        -3.15131                        0.414447
06-01-2024 20:10:29.999.995.976                         2.43952                        -2.88193                        -1.22688
06-01-2024 20:11:30.000.002.458                         1.74446                        -2.76841                        -2.58321
06-01-2024 20:12:29.999.998.882                         2.60132                        -2.61781                        -1.77964
06-01-2024 20:13:29.999.995.306                         2.32469                        -2.38782                        -1.92604
06-01-2024 20:14:30.000.001.788                         2.78933                        -2.75253                       -0.908027
06-01-2024 20:15:29.999.998.211                         2.31112                        -2.80253                        -1.95756
06-01-2024 20:16:30.000.004.693                         2.10471                        -2.91029                        -2.14123
06-01-2024 20:17:30.000.001.117                         2.37234                        -2.76701                        -2.22370
06-01-2024 20:18:29.999.997.541                         2.20120                        -2.40301                        -1.81115
06-01-2024 20:19:30.000.004.023                         2.52060                        -2.35746                        -2.31035
06-01-2024 20:20:30.000.000.447                         2.33207                        -2.47109                        -1.96306
06-01-2024 20:21:29.999.996.870                         1.95047                        -2.70049                        -2.11392
06-01-2024 20:22:30.000.003.352                         2.33123                        -1.86728                        -2.41257
06-01-2024 20:23:29.999.999.776                         1.13317                       0.0415993                        -3.86602
06-01-2024 20:24:29.999.996.200                         3.03466                        -2.78668                        0.474529
06-01-2024 20:25:30.000.002.682                         3.18419                        -2.62721                       0.0447913
06-01-2024 20:26:29.999.999.105                         2.98903                        -2.97194                        0.548422
06-01-2024 20:27:29.999.995.529                         2.99333                        -3.12633                       -0.139440
06-01-2024 20:28:30.000.002.011                         2.93268                        -3.07394                      -0.0303955
06-01-2024 20:29:29.999.998.435                         2.64480                        -3.39125                       -0.539201
06-01-2024 20:30:30.000.004.917                         3.18218                        -2.84376                       -0.416174
06-01-2024 20:31:30.000.001.341                         3.17584                        -2.79869                       -0.969895
06-01-2024 20:32:29.999.997.764                         3.10896                        -2.86871                        -1.05751
06-01-2024 20:33:30.000.004.246                         3.30966                        -2.58954                        -1.46391
06-01-2024 20:34:30.000.000.670                         3.26607                        -2.78910                        -1.06893
06-01-2024 20:35:29.999.997.094                         3.53376                        -2.08197                        -1.80307
06-01-2024 20:36:30.000.003.576                         3.37915                        -2.02426                        -1.99380
06-01-2024 20:37:29.999.999.999                         3.23244                        -1.70110                        -2.30253
06-01-2024 20:38:29.999.996.423                         3.30046                        -1.58118                        -2.51237
06-01-2024 20:39:30.000.002.905                         3.21884                        -1.90369                        -2.25175
06-01-2024 20:40:29.999.999.329                         3.28428                        -1.69570                        -2.40889
06-01-2024 20:41:29.999.995.753                         3.05410                        -1.98733                        -1.97629
06-01-2024 20:42:30.000.002.235                         2.73373                        -2.09857                        -2.15815
06-01-2024 20:43:29.999.998.658                         3.09677                        -2.56165                       -0.788460
06-01-2024 20:44:29.999.995.082                         1.91302                        -3.45580                        -1.11914
06-01-2024 20:45:30.000.001.564                         2.17887                        -3.57178                        0.169990
06-01-2024 20:46:29.999.997.988                         1.72071                       -0.624554                         3.91679
06-01-2024 20:47:30.000.004.470                         2.27453                        -2.37223                         2.78376
06-01-2024 20:48:30.000.000.894                         2.30763                        -1.24029                         3.44033
06-01-2024 20:49:29.999.997.317                         2.60530                        -1.93719                         2.97431
06-01-2024 20:50:30.000.003.799                         3.06503                        -2.16712                         1.93449
06-01-2024 20:51:30.000.000.223                         3.32702                        -2.12049                         1.47182
06-01-2024 20:52:29.999.996.647                         2.51382                        -1.70221                         3.08138
06-01-2024 20:53:30.000.003.129                         2.76827                        -1.61662                         2.94492
06-01-2024 20:54:29.999.999.552                         2.77104                       0.0887781                         3.46867
06-01-2024 20:55:29.999.995.976                         3.21636                        -2.56993                         1.83096
06-01-2024 20:56:30.000.002.458                         1.74538                        -3.82692                         1.28733
06-01-2024 20:57:29.999.998.882                         3.13184                        -2.32583                         1.92580
06-01-2024 20:58:29.999.995.306                         3.52686                        -1.90069                         1.72651
06-01-2024 20:59:30.000.001.788                         3.32698                        -1.64249                         2.48996
06-01-2024 21:00:29.999.998.211                         3.12675                        -2.77821                         1.58981
06-01-2024 21:01:30.000.004.693                         3.31659                        -2.64755                         1.35521
06-01-2024 21:02:30.000.001.117                         3.06268                        -2.78582                         1.19314
06-01-2024 21:03:29.999.997.541                         2.22610                        -3.88144                       0.0989756
06-01-2024 21:04:30.000.004.023                         3.11038                        -2.73901                         1.18410
06-01-2024 21:05:30.000.000.447                         3.67217                        -1.02704                         2.35416
06-01-2024 21:06:29.999.996.870                         1.49915                        -4.02268                       -0.137669
06-01-2024 21:07:30.000.003.352                         3.16190                        -2.77998                         1.17536
06-01-2024 21:08:29.999.999.776                         3.22178                        -2.60434                        0.975024
06-01-2024 21:09:29.999.996.200                         2.31651                        -3.58538                       -0.434627
06-01-2024 21:10:30.000.002.682                         1.70260                        -3.65710                        -1.21711
06-01-2024 21:11:29.999.999.105                         1.62654                        -3.66314                       -0.840745
06-01-2024 21:12:29.999.995.529                         1.71877                        -3.87282                       -0.970273
06-01-2024 21:13:30.000.002.011                         1.80530                        -3.23711                        -2.45661
