Start Time,Impact Locations,Impact Locations with arrival times
2024-01-05 01:53:00,Solar Orbiter,"[('Solar Orbiter', '2024-01-07 20:00:00')]"
2024-01-06 08:12:00,"Solar Orbiter, STEREO A, Earth","[('Earth', '2024-01-06 08:12:00'), ('Solar Orbiter', '2024-01-09 08:00:00'), ('STEREO A', '2024-01-09 02:00:00')]"
2024-01-06 17:36:00,"Solar Orbiter, STEREO A, Earth","[('Earth', '2024-01-06 17:36:00'), ('Solar Orbiter', '2024-01-09 22:52:00'), ('STEREO A', '2024-01-10 00:00:00')]"
2024-01-08 13:25:00,Solar Orbiter,"[('Solar Orbiter', '2024-01-11 20:00:00')]"
2024-01-09 15:48:00,"Solar Orbiter, STEREO A, Earth","[('Earth', '2024-01-09 15:48:00'), ('Solar Orbiter', '2024-01-12 11:00:00'), ('STEREO A', '2024-01-12 12:00:00')]"
2024-01-20 09:24:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2024-01-22 07:09:00'), ('STEREO A', '2024-01-22 06:37:00')]"
2024-01-20 09:24:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2024-01-22 12:09:00'), ('STEREO A', '2024-01-22 11:24:00')]"
2024-01-20 09:24:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2024-01-22 11:57:00'), ('STEREO A', '2024-01-22 11:21:00')]"
2024-01-20 09:24:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2024-01-22 12:56:00'), ('STEREO A', '2024-01-22 10:57:00')]"
2024-01-20 09:24:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2024-01-22 12:39:00'), ('STEREO A', '2024-01-22 10:54:00')]"
2024-01-21 00:36:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2024-01-22 23:17:00'), ('STEREO A', '2024-01-23 07:06:00')]"
2024-01-21 00:36:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2024-01-22 23:03:00'), ('STEREO A', '2024-01-23 07:16:00')]"
2024-01-21 00:36:00,"Solar Orbiter, STEREO A, Earth","[('Earth', '2024-01-21 00:36:00'), ('Solar Orbiter', '2024-01-23 03:16:00'), ('STEREO A', '2024-01-23 23:30:00')]"
2024-01-21 00:36:00,"Solar Orbiter, STEREO A, Earth","[('Earth', '2024-01-21 00:36:00'), ('Solar Orbiter', '2024-01-23 03:08:00'), ('STEREO A', '2024-01-24 00:00:00')]"
2024-01-21 00:36:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2024-01-22 12:56:00'), ('STEREO A', '2024-01-22 10:57:00')]"
2024-01-21 00:36:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2024-01-22 12:39:00'), ('STEREO A', '2024-01-22 10:54:00')]"
2024-01-22 10:48:00,"STEREO A, Solar Orbiter","[('STEREO A', '2024-01-25 10:53:00'), ('Solar Orbiter', '2024-01-25 18:00:00')]"
2024-01-22 22:36:00,"STEREO A, Solar Orbiter","[('STEREO A', '2024-01-26 11:11:00'), ('Solar Orbiter', '2024-01-26 14:00:00')]"
2024-01-22 22:36:00,"STEREO A, Solar Orbiter","[('STEREO A', '2024-01-26 10:30:00'), ('Solar Orbiter', '2024-01-26 16:00:00')]"
2024-01-23 03:48:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2024-01-25 00:44:00'), ('STEREO A', '2024-01-25 13:00:00')]"
2024-01-23 03:48:00,"Solar Orbiter, STEREO A, Earth","[('Earth', '2024-01-23 03:48:00'), ('Solar Orbiter', '2024-01-26 00:30:00'), ('STEREO A', '2024-01-26 20:00:00')]"
2024-01-23 04:12:00,"STEREO A, Solar Orbiter","[('STEREO A', '2024-01-26 11:40:00'), ('Solar Orbiter', '2024-01-26 12:00:00')]"
2024-01-23 04:12:00,"STEREO A, Solar Orbiter","[('STEREO A', '2024-01-26 11:11:00'), ('Solar Orbiter', '2024-01-26 14:00:00')]"
2024-01-23 04:12:00,"STEREO A, Solar Orbiter","[('STEREO A', '2024-01-26 10:30:00'), ('Solar Orbiter', '2024-01-26 16:00:00')]"
2024-01-23 07:24:00,"STEREO A, Solar Orbiter","[('STEREO A', '2024-01-26 10:30:00'), ('Solar Orbiter', '2024-01-26 16:00:00')]"
2024-01-29 04:38:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2024-01-30 16:48:00'), ('STEREO A', '2024-01-30 10:16:00')]"
2024-02-01 08:00:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2024-02-03 10:25:00'), ('STEREO A', '2024-02-03 16:01:00')]"
2024-02-01 08:00:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2024-02-03 18:39:00'), ('STEREO A', '2024-02-04 03:59:00')]"
2024-02-02 04:17:00,"Solar Orbiter, Earth","[('Earth', '2024-02-02 04:17:00'), ('Solar Orbiter', '2024-02-05 05:08:00')]"
2024-02-05 07:48:00,Solar Orbiter,"[('Solar Orbiter', '2024-02-08 16:00:00')]"
2024-02-09 00:12:00,"STEREO A, Solar Orbiter","[('STEREO A', '2024-02-12 17:30:00'), ('Solar Orbiter', '2024-02-12 16:00:00')]"
2024-02-10 07:00:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2024-02-12 18:43:00'), ('STEREO A', '2024-02-12 20:46:00')]"
2024-02-10 07:00:00,"STEREO A, Solar Orbiter","[('STEREO A', '2024-02-12 20:21:00'), ('Solar Orbiter', '2024-02-12 19:00:00')]"
2024-02-10 07:00:00,"STEREO A, Solar Orbiter","[('STEREO A', '2024-02-12 17:30:00'), ('Solar Orbiter', '2024-02-12 16:00:00')]"
2024-02-10 23:36:00,"STEREO A, Solar Orbiter","[('STEREO A', '2024-02-13 12:57:00'), ('Solar Orbiter', '2024-02-13 06:00:00')]"
2024-02-10 23:36:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2024-02-12 16:32:00'), ('STEREO A', '2024-02-13 04:48:00')]"
2024-02-24 17:00:00,Solar Orbiter,"[('Solar Orbiter', '2024-02-27 16:00:00')]"
2024-02-28 09:12:00,Solar Orbiter,"[('Solar Orbiter', '2024-03-01 22:00:00')]"
2024-02-28 09:24:00,"Solar Orbiter, STEREO A, Earth","[('Earth', '2024-02-28 09:24:00'), ('Solar Orbiter', '2024-03-01 02:09:00'), ('STEREO A', '2024-03-02 18:00:00')]"
2024-02-28 23:12:00,"Solar Orbiter, STEREO A, Earth","[('Earth', '2024-02-28 23:12:00'), ('Solar Orbiter', '2024-03-02 04:00:00'), ('STEREO A', '2024-03-03 18:00:00')]"
2024-03-01 18:00:00,Solar Orbiter,"[('Solar Orbiter', '2024-03-05 12:00:00')]"
