📸 First Sighting,🛰️ Who's Getting Hit?,⏱️Time of Impact
2025-01-03 12:12:00,Solar Orbiter,"[('Solar Orbiter', '2025-01-07 20:00:00')]"
2025-01-04 13:25:00,"Solar Orbiter, Earth","[('Earth', '2025-01-04 13:25:00'), ('Solar Orbiter', '2025-01-08 08:00:00')]"
2025-01-04 18:48:00,"STEREO A, Solar Orbiter","[('STEREO A', '2025-01-06 04:48:00'), ('Solar Orbiter', '2025-01-07 10:00:00')]"
2025-01-04 18:48:00,"STEREO A, Solar Orbiter","[('STEREO A', '2025-01-06 04:52:00'), ('Solar Orbiter', '2025-01-07 10:00:00')]"
2025-01-05 20:12:00,Solar Orbiter,"[('Solar Orbiter', '2025-01-10 08:00:00')]"
2025-01-06 05:48:00,Solar Orbiter,"[('Solar Orbiter', '2025-01-08 16:00:00')]"
2025-01-06 05:48:00,Solar Orbiter,"[('Solar Orbiter', '2025-01-08 16:00:00')]"
2025-01-07 10:36:00,"STEREO A, Solar Orbiter","[('STEREO A', '2025-01-10 12:11:00'), ('Solar Orbiter', '2025-01-09 20:00:00')]"
2025-01-20 20:36:00,"Solar Orbiter, Earth","[('Earth', '2025-01-20 20:36:00'), ('Solar Orbiter', '2025-01-24 06:00:00')]"
2025-01-21 10:53:00,Solar Orbiter,"[('Solar Orbiter', '2025-01-24 03:08:00')]"
2025-01-21 10:53:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2025-01-24 04:16:00'), ('STEREO A', '2025-01-24 22:49:00')]"
2025-01-21 10:53:00,Solar Orbiter,"[('Solar Orbiter', '2025-01-24 05:31:00')]"
2025-01-22 11:36:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2025-01-25 11:40:00'), ('STEREO A', '2025-01-24 23:06:00')]"
2025-01-22 11:36:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2025-01-24 04:16:00'), ('STEREO A', '2025-01-24 22:49:00')]"
2025-01-22 11:36:00,"Solar Orbiter, STEREO A","[('Solar Orbiter', '2025-01-24 21:19:00'), ('STEREO A', '2025-01-24 18:49:00')]"
